日期,code,收盘价
2024-04-08,sh.000300,3536.4077
2024-04-09,sh.000300,3533.4871
2024-04-10,sh.000300,3504.7086
2024-04-11,sh.000300,3504.2447
2024-04-12,sh.000300,3475.8389
2024-04-15,sh.000300,3549.0759
2024-04-16,sh.000300,3511.1146
2024-04-17,sh.000300,3565.403
2024-04-18,sh.000300,3569.8018
2024-04-19,sh.000300,3541.6619
2024-04-22,sh.000300,3530.9045
2024-04-23,sh.000300,3506.2249
2024-04-24,sh.000300,3521.6219
2024-04-25,sh.000300,3530.2813
2024-04-26,sh.000300,3584.2686
2024-04-29,sh.000300,3623.9124
2024-04-30,sh.000300,3604.3943
2024-05-06,sh.000300,3657.8767
